"","X.1.1.","X.1.2.","X.1.3.","X.2.1.","X.2.2.","X.2.3.","X.3.1.","X.3.2.","X.3.3.","X..1.1..","X..1.2..","X..1.3..","X..2.1..","X..2.2..","X..2.3..","X..3.1..","X..3.2..","X..3.3..","X.iamb.fdr.","X765","X.mi.","X0.1"
"X.1.1.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"iamb.fdr",765,"mi",0.1
"X.1.2.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"iamb.fdr",765,"mi",0.1
"X.1.3.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"iamb.fdr",765,"mi",0.1
"X.2.1.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"iamb.fdr",765,"mi",0.1
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"iamb.fdr",765,"mi",0.1
"X.2.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"iamb.fdr",765,"mi",0.1
"X.3.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"iamb.fdr",765,"mi",0.1
"X.3.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"iamb.fdr",765,"mi",0.1
"X.3.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"iamb.fdr",765,"mi",0.1
"X..1.1..",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"iamb.fdr",765,"mi",0.1
"X..1.2..",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"iamb.fdr",765,"mi",0.1
"X..1.3..",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"iamb.fdr",765,"mi",0.1
"X..2.1..",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"iamb.fdr",765,"mi",0.1
"X..2.2..",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"iamb.fdr",765,"mi",0.1
"X..2.3..",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"iamb.fdr",765,"mi",0.1
"X..3.1..",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"iamb.fdr",765,"mi",0.1
"X..3.2..",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"iamb.fdr",765,"mi",0.1
"X..3.3..",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"iamb.fdr",765,"mi",0.1
