"","X.1.1.","X.1.2.","X.1.3.","X.1.4.","X.2.1.","X.2.2.","X.2.3.","X.2.4.","X..1.1..","X..1.2..","X..1.3..","X..1.4..","X..2.1..","X..2.2..","X..2.3..","X..2.4..","X.fci.","X243","X.G2.","X0.1"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",243,"G2",0.1
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",243,"G2",0.1
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",243,"G2",0.1
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",243,"G2",0.1
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",243,"G2",0.1
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",243,"G2",0.1
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",243,"G2",0.1
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",243,"G2",0.1
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",243,"G2",0.1
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",243,"G2",0.1
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",243,"G2",0.1
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",243,"G2",0.1
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",243,"G2",0.1
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",243,"G2",0.1
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",243,"G2",0.1
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",243,"G2",0.1
