"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X.rsmax2.","X130","X.inter.iamb.","X.x2.","X0.01","X.hc.","X.bic."
"X.1.1.",0,0,0,0,1,0,0,0,"rsmax2",130,"inter.iamb","x2",0.01,"hc","bic"
"X.1.2.",0,0,0,0,0,1,0,0,"rsmax2",130,"inter.iamb","x2",0.01,"hc","bic"
"X.2.1.",0,0,0,0,0,0,1,0,"rsmax2",130,"inter.iamb","x2",0.01,"hc","bic"
"X.2.2.",0,0,0,0,0,0,0,1,"rsmax2",130,"inter.iamb","x2",0.01,"hc","bic"
"X..1.1..",0,0,0,0,0,0,0,0,"rsmax2",130,"inter.iamb","x2",0.01,"hc","bic"
"X..1.2..",0,0,0,0,0,0,0,0,"rsmax2",130,"inter.iamb","x2",0.01,"hc","bic"
"X..2.1..",0,0,0,0,0,0,0,0,"rsmax2",130,"inter.iamb","x2",0.01,"hc","bic"
"X..2.2..",0,0,0,0,0,0,0,0,"rsmax2",130,"inter.iamb","x2",0.01,"hc","bic"
