"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X.3.1.","X.3.2.","X.4.1.","X.4.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X..3.1..","X..3.2..","X..4.1..","X..4.2..","X.fci.","X289","X.G2.","X0.1"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",289,"G2",0.1
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",289,"G2",0.1
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",289,"G2",0.1
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",289,"G2",0.1
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",289,"G2",0.1
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",289,"G2",0.1
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",289,"G2",0.1
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",289,"G2",0.1
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",289,"G2",0.1
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",289,"G2",0.1
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",289,"G2",0.1
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",289,"G2",0.1
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",289,"G2",0.1
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",289,"G2",0.1
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",289,"G2",0.1
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",289,"G2",0.1
