"","X.1.1.","X.1.2.","X.1.3.","X.1.4.","X.2.1.","X.2.2.","X.2.3.","X.2.4.","X..1.1..","X..1.2..","X..1.3..","X..1.4..","X..2.1..","X..2.2..","X..2.3..","X..2.4..","X.fci.","X236","X.G2.","X0.01"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",236,"G2",0.01
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",236,"G2",0.01
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",236,"G2",0.01
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",236,"G2",0.01
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",236,"G2",0.01
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",236,"G2",0.01
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",236,"G2",0.01
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",236,"G2",0.01
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",236,"G2",0.01
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",236,"G2",0.01
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",236,"G2",0.01
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",236,"G2",0.01
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",236,"G2",0.01
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",236,"G2",0.01
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",236,"G2",0.01
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fci",236,"G2",0.01
