"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X.3.1.","X.3.2.","X.4.1.","X.4.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X..3.1..","X..3.2..","X..4.1..","X..4.2..","X.gs.","X428","X.mi.","X0.05"
"X.1.1.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"gs",428,"mi",0.05
"X.1.2.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"gs",428,"mi",0.05
"X.2.1.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"gs",428,"mi",0.05
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"gs",428,"mi",0.05
"X.3.1.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"gs",428,"mi",0.05
"X.3.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"gs",428,"mi",0.05
"X.4.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"gs",428,"mi",0.05
"X.4.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"gs",428,"mi",0.05
"X..1.1..",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"gs",428,"mi",0.05
"X..1.2..",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"gs",428,"mi",0.05
"X..2.1..",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"gs",428,"mi",0.05
"X..2.2..",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"gs",428,"mi",0.05
"X..3.1..",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"gs",428,"mi",0.05
"X..3.2..",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"gs",428,"mi",0.05
"X..4.1..",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"gs",428,"mi",0.05
"X..4.2..",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"gs",428,"mi",0.05
